kepid,kepoi_name,kepler_name,koi_period,koi_time0bk,duration(days),koi_ldm_coeff2,koi_ldm_coeff1,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,FeH,FeH_err1,FeH_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
11446443,K00001.01,Kepler-1 b,2.470613377,122.763305,0.07263,0.2676,0.3928,1,5820,78,-78,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846
11904151,K00072.01,Kepler-10 b,0.837491225,131.574858,0.07483,0.2676,0.3928,2,5676,85,-68,4.347,0.03,-0.03,-0.12,0.15,-0.15,1.044,0.057,-0.042,0.884,0.069,-0.042,285.67938,50.241299,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496
11904151,K00072.02,Kepler-10 c,45.29422297,138.678725,0.28458,0.2676,0.3928,1,5676,85,-68,4.347,0.03,-0.03,-0.12,0.15,-0.15,1.044,0.057,-0.042,0.884,0.069,-0.042,285.67938,50.241299,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496
6521045,K00041.02,Kepler-100 b,6.88707073,133.17797,0.18616,0.2638,0.4046,2,5788,78,-78,4.122,0.033,-0.027,0.1,0.15,-0.15,1.474,0.094,-0.079,1.05,0.126,-0.068,291.38599,41.990269,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768
6521045,K00041.01,Kepler-100 c,12.81590421,122.94682,0.26607,0.2638,0.4046,1,5788,78,-78,4.122,0.033,-0.027,0.1,0.15,-0.15,1.474,0.094,-0.079,1.05,0.126,-0.068,291.38599,41.990269,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768
6521045,K00041.03,Kepler-100 d,35.3331932,153.98249,0.24858,0.2638,0.4046,3,5788,78,-78,4.122,0.033,-0.027,0.1,0.15,-0.15,1.474,0.094,-0.079,1.05,0.126,-0.068,291.38599,41.990269,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768
10063802,K01888.01,Kepler-1000 b,120.0183551,134.18742,0.48488,0.3206,0.3146,1,6469,103,-154,4.253,0.048,-0.104,0.44,0.05,-0.15,1.467,0.24,-0.111,1.406,0.086,-0.086,286.68552,47.098221,13.256,13.504,13.199,13.15,13.167,12.319,12.137,12.094
11074178,K01889.01,Kepler-1001 b,14.30517579,135.06301,0.18896,0.2711,0.3858,1,5741,155,-155,4.555,0.034,-0.195,-0.16,0.3,-0.3,0.846,0.236,-0.079,0.938,0.098,-0.109,286.27386,48.61871,15.338,15.872,15.296,15.109,15.052,14.109,13.718,13.662
7449136,K01890.01,Kepler-1002 b,4.33643506,133.85442,0.17269,0.3052,0.3236,1,6180,74,-80,4.133,0.015,-0.015,0.12,0.15,-0.15,1.603,0.057,-0.082,1.275,0.064,-0.128,293.0795,43.073711,11.704,12.051,11.642,11.555,11.535,10.689,10.449,10.374
8689793,K01893.01,Kepler-1003 b,3.554856338,131.80398,0.08752,0.2979,0.3238,1,6068,163,-181,4.565,0.036,-0.204,-0.5,0.3,-0.3,0.831,0.24,-0.06,0.931,0.089,-0.119,292.02045,44.876221,14.053,14.466,14.014,13.876,13.825,12.95,12.637,12.623
11673802,K01894.01,Kepler-1004 b,5.28790754,135.36119,0.35531,0.1611,0.5645,1,4994,52,-89,3.433,0.02,-0.024,0.08,0.1,-0.15,3.818,0.185,-0.517,1.441,0.121,-0.338,297.35928,49.79755,13.427,14.305,13.364,13.05,12.815,11.7,11.155,11.06
7668663,K01898.01,Kepler-1005 b,6.4980147,136.00108,0.10160,0.2622,0.4035,1,5727,104,-115,4.328,0.137,-0.112,0,0.15,-0.15,1.104,0.164,-0.164,0.946,0.072,-0.057,286.28601,43.320461,13.25,13.658,13.191,13.075,13.035,12.091,11.788,11.718
7047922,K01899.01,Kepler-1006 b,19.76169247,135.17794,0.16290,0.302,0.319,1,6327,291,-542,4.327,0.158,-0.193,-0.14,0.3,-0.3,1.175,0.389,-0.259,1.064,0.212,-0.173,295.75412,42.537479,14.563,14.878,14.315,14.428,14.009,13.053,12.625,12.502
9353314,K01900.01,Kepler-1007 b,5.18498961,131.8814,0.08915,0.1496,0.5738,1,4325,131,-131,4.68,0.059,-0.027,-0.64,0.3,-0.3,0.56,0.045,-0.056,0.547,0.056,-0.038,295.90656,45.80912,14.744,15.792,14.672,14.295,14.081,12.94,12.326,12.224
