epic,period,depth,t14,rprs
212270970,1.717,0.0086,0.258,0.00929
211365543,5.264,0.0096,0.17437,0.0098
228974907,20.84919,0.01,0.2083,0.0103
228784812,4.18787,0.014,0.0917,0.0124
211834065,10.545,0.0143,0.13579,0.01197
203518244,0.8411257,0.015,0.1216667,0.01098
211333233,5.409,0.0172,0.09767,0.0131
203099398,1.8389349,0.0177,0.0595833,0.01201
201164625,2.71189,0.02,0.1292,0.0121
212310244,6.669,0.0213,0.20767,0.01461
211328748,17.178,0.0219,0.10217,0.01481
201923289,0.78214992,0.0226,0.0545833,0.01346
228748383,12.409,0.024,0.2458,0.0162
212141021,2.918,0.0246,0.07975,0.01567
211645912,10.673,0.0274,0.14317,0.01656
211779390,3.85,0.0282,0.06779,0.0168
212796016,3.216,0.0308,0.05596,0.01754
211569704,34.023,0.0308,0.125,0.01756
212424622,12.012,0.0315,0.21508,0.01775
201546136,1.9668579,0.0322,0.1,0.01764
228974324,1.60588,0.034,0.0542,0.0153
228763938,13.81513,0.036,0.15,0.0193
211308899,6.423,0.0395,0.20354,0.01987
201588420,3.2908998,0.0406,0.04,0.01804
212529560,8.121,0.0406,0.14158,0.02014
211336616,44.13,0.0427,0.19312,0.02065
203070421,1.7359447,0.043,0.1175,0.02551
212278644,12.426,0.0431,0.20513,0.02077
201528215,6.3991398,0.0449,0.0875,0.01901
211783206,7.134,0.045,0.07662,0.02121
204914585,18.357773,0.0452,0.21375,0.01924
206135682,5.025831,0.0484,0.0958333,0.01961
229017395,19.0921,0.049,0.25,0.021
212499991,15.381,0.0542,0.09112,0.02329
212440430,19.991,0.0542,0.17775,0.02328
206042996,0.35490972,0.0553,0.0445833,0.02145
205242733,2.4165066,0.056,0.1,0.02173
212380207,26.147,0.0568,0.18088,0.02384
205111664,15.937378,0.0576,0.1354167,0.02135
201556134,12.726743,0.0579,0.1616667,0.02141
212495601,21.677,0.0605,0.18892,0.0246
201274010,13.0113,0.065,0.0917,0.0255
201238163,1.0829614,0.0655,0.0508333,0.02378
211923431,29.729,0.067,0.20825,0.02588
212136123,2.226,0.0676,0.06996,0.026
202090152,4.8045244,0.0678,0.0970833,0.02388
228836835,0.72813,0.068,0.0333,0.0273
212398508,46.423,0.0681,0.27463,0.0261
212420823,9.029,0.0682,0.12537,0.02611
212563850,14.311,0.0689,0.08167,0.02625
228739306,7.17256,0.07,0.1167,0.0255
212297394,5.213,0.0709,0.10092,0.02662
201239401,0.90552205,0.0791,0.055,0.02628
201927336,6.4498648,0.0814,0.0679167,0.0257
